Genus,Distinct growth rings,Ring porous,Large-vessel tendency,High vessel frequency,Mostly solitary vessels,Radial multiples,Vessel clusters,Broad or aggregate rays,Banded axial parenchyma,Oil/mucilage cells,Tyloses
Acer,1.0,0.0,0.0,0.5,0.0,1.0,0.5,1.0,1.0,0.0,0.0
Aesculus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Alnus,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,
Betula,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,
Carpinus,1.0,0.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Castanea,1.0,1.0,1.0,,0.5,1.0,1.0,0.0,0.0,0.0,1.0
Castanopsis,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0
Cinnamomum,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
Fagus,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5
Lindera,,0.0,,0.0,1.0,0.5,0.5,0.0,0.0,1.0,
Lithocarpus,0.5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0
Litsea,1.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,1.0,0.5
Machilus,1.0,0.0,1.0,,1.0,0.5,0.5,0.0,0.0,1.0,
Magnolia,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
Quercus,0.5,0.5,1.0,,1.0,0.5,0.5,1.0,,0.0,1.0
Ulmus,1.0,1.0,1.0,,0.5,1.0,1.0,1.0,0.0,0.0,1.0
Zelkova,1.0,1.0,1.0,,0.5,0.0,1.0,1.0,0.0,0.0,
